,date,utm_source_and_medium,utm_campaign,user_count,session_count
0,2024-09-18,(direct) / (none),(direct),104,124
1,2024-09-18,google / cpc,(not set),59,59
2,2024-09-18,google / organic,(organic),37,40
3,2024-09-18,google / cpc,hu_brand,30,34
4,2024-09-18,google / cpc,campaign_16,23,25
5,2024-09-18,facebook / cpc,campaign_14,21,21
6,2024-09-18,google / cpc,campaign_15,18,19
7,2024-09-18,redir.d-edgeconnect.media / referral,(referral),12,12
8,2024-09-18,google / cpc,campaign_19,6,11
9,2024-09-18,google / cpc,hu_pmax_brand,8,9
10,2024-09-18,google / cpc,(organic),6,6
11,2024-09-18,source_1,(referral),6,6
12,2024-09-18,l.facebook.com / referral,(referral),6,6
13,2024-09-18,m.facebook.com / referral,(referral),5,6
14,2024-09-18,google / cpc,campaign_17,5,6
15,2024-09-18,msn.com / referral,(referral),2,5
16,2024-09-18,facebook / cpc,campaign_18,5,5
17,2024-09-18,google / cpc,campaign_26,4,5
18,2024-09-18,google / cpc,campaign_22,4,4
19,2024-09-18,(not set),(not set),3,3
20,2024-09-18,google / cpc,campaign_20,3,3
21,2024-09-18,google / cpc,campaign_23,3,3
22,2024-09-18,hotelcms.hu / referral,(referral),2,2
23,2024-09-18,ntp.msn.com / referral,(referral),1,2
24,2024-09-18,bing / cpc,campaign_28,2,2
25,2024-09-18,google / cpc,campaign_24,2,2
26,2024-09-18,seznam / organic,(organic),1,1
27,2024-09-18,source_10,(referral),1,1
28,2024-09-18,email.seznam.cz / referral,(referral),1,1
29,2024-09-18,googleads.g.doubleclick.net / referral,(referral),1,1
30,2024-09-18,statics.teams.cdn.office.net / referral,(referral),1,1
31,2024-09-18,fb / paid,campaign_8,1,1
32,2024-09-18,bing / cpc,campaign_31,1,1
33,2024-09-18,bing / cpc,campaign_32,1,1
34,2024-09-18,google / cpc,campaign_30,1,1
35,2024-09-18,google / cpc,campaign_25,1,1
36,2024-09-18,source_11,campaign_4,1,1
37,2024-09-18,bing / cpc,campaign_33,1,1
38,2024-09-18,google / cpc,campaign_34,1,1
39,2024-09-18,facebook / cpc,campaign_21,1,1
40,2024-09-18,source_9,hirlevel_c3,1,1
41,2024-09-18,google / cpc,utm_campaign,1,1
42,2024-09-19,google / cpc,campaign_24,2,4
43,2024-09-19,google / cpc,(not set),52,59
44,2024-09-19,google / organic,(organic),34,37
45,2024-09-19,google / cpc,campaign_16,26,35
46,2024-09-19,google / cpc,hu_brand,28,32
47,2024-09-19,facebook / cpc,campaign_14,19,20
48,2024-09-19,google / cpc,campaign_15,13,14
49,2024-09-19,m.facebook.com / referral,(referral),11,11
50,2024-09-19,redir.d-edgeconnect.media / referral,(referral),10,10
51,2024-09-19,facebook / cpc,campaign_18,10,10
52,2024-09-19,(not set),(not set),9,9
53,2024-09-19,google / cpc,hu_pmax_brand,7,8
54,2024-09-19,ajanlat / offline,campaign_2,4,7
55,2024-09-19,l.facebook.com / referral,(referral),6,6
56,2024-09-19,source_1,(referral),5,5
57,2024-09-19,ntp.msn.com / referral,(referral),2,4
58,2024-09-19,google / cpc,campaign_19,4,4
59,2024-09-19,google / cpc,campaign_17,4,4
60,2024-09-19,google / cpc,campaign_23,4,4
61,2024-09-19,(direct) / (none),(direct),55,63
62,2024-09-19,google / cpc,(organic),3,3
63,2024-09-19,source_11,campaign_4,3,3
64,2024-09-19,ajanlat / offline,proposal-by-phone,3,3
65,2024-09-19,google / cpc,utm_campaign,2,3
66,2024-09-19,bing / organic,(organic),2,2
67,2024-09-19,seznam / organic,(organic),2,2
68,2024-09-19,lm.facebook.com / referral,(referral),2,2
69,2024-09-19,google / cpc,campaign_25,2,2
70,2024-09-19,googleads.g.doubleclick.net / referral,(referral),1,1
71,2024-09-19,hotelcms.hu / referral,(referral),1,1
72,2024-09-19,l.instagram.com / referral,(referral),1,1
73,2024-09-19,msn.com / referral,(referral),1,1
74,2024-09-19,bing / cpc,campaign_9,1,1
75,2024-09-19,bing / cpc,campaign_31,1,1
76,2024-09-19,google / cpc,campaign_20,1,1
77,2024-09-19,google / cpc,campaign_22,1,1
78,2024-09-19,bing / cpc,campaign_28,1,1
79,2024-09-19,bing / cpc,campaign_29,1,1
80,2024-09-19,bing / cpc,campaign_41,1,1
81,2024-09-19,google / cpc,campaign_26,1,1
82,2024-09-19,source_9,hirlevel_c3,1,1
83,2024-09-20,(direct) / (none),(direct),51,64
84,2024-09-20,google / cpc,campaign_16,34,40
85,2024-09-20,google / cpc,hu_brand,35,39
86,2024-09-20,google / organic,(organic),36,36
87,2024-09-20,google / cpc,(not set),33,35
88,2024-09-20,facebook / cpc,campaign_14,20,20
89,2024-09-20,l.facebook.com / referral,(referral),7,8
90,2024-09-20,google / cpc,campaign_15,7,8
91,2024-09-20,facebook / cpc,campaign_18,8,8
92,2024-09-20,google / cpc,hu_pmax_brand,8,8
93,2024-09-20,lm.facebook.com / referral,(referral),6,6
94,2024-09-20,google / cpc,campaign_19,5,6
95,2024-09-20,google / cpc,campaign_26,4,6
96,2024-09-20,m.facebook.com / referral,(referral),5,5
97,2024-09-20,bing / cpc,campaign_28,4,5
98,2024-09-20,google / cpc,(organic),4,4
99,2024-09-20,redir.d-edgeconnect.media / referral,(referral),3,4
100,2024-09-20,google / cpc,campaign_20,4,4
101,2024-09-20,(not set),(not set),2,3
102,2024-09-20,google / cpc,campaign_23,3,3
103,2024-09-20,ajanlat / offline,campaign_2,2,3
104,2024-09-20,google / organic,(not set),1,2
105,2024-09-20,seznam / organic,(organic),2,2
106,2024-09-20,l.instagram.com / referral,(referral),2,2
107,2024-09-20,bing / cpc,campaign_9,2,2
108,2024-09-20,source_1,(referral),1,1
109,2024-09-20,source_13,(referral),1,1
110,2024-09-20,bing / cpc,campaign_31,1,1
111,2024-09-20,google / cpc,campaign_30,1,1
112,2024-09-20,google / cpc,campaign_17,1,1
113,2024-09-20,bing / cpc,campaign_33,1,1
114,2024-09-20,google / cpc,campaign_27,1,1
115,2024-09-20,google / cpc,campaign_34,1,1
116,2024-09-20,bing / cpc,campaign_13,1,1
117,2024-09-20,google / cpc,campaign_22,1,1
118,2024-09-20,bing / cpc,campaign_29,1,1
119,2024-09-20,facebook / cpc,campaign_21,1,1
120,2024-09-20,google / cpc,campaign_24,1,1
121,2024-09-20,facebook.com / post,campaign_44,1,1
122,2024-09-20,google / cpc,utm_campaign,1,1
123,2024-09-21,google / cpc,campaign_20,4,4
124,2024-09-21,google / cpc,utm_campaign,1,1
125,2024-09-21,(direct) / (none),(direct),35,40
126,2024-09-21,google / cpc,(not set),30,34
127,2024-09-21,google / cpc,campaign_16,30,34
128,2024-09-21,l.instagram.com / referral,(referral),20,21
129,2024-09-21,m.facebook.com / referral,(referral),18,18
130,2024-09-21,google / cpc,campaign_15,13,17
131,2024-09-21,facebook / cpc,campaign_14,17,17
132,2024-09-21,google / cpc,campaign_17,1,13
133,2024-09-21,google / cpc,hu_pmax_brand,8,9
134,2024-09-21,redir.d-edgeconnect.media / referral,(referral),6,6
135,2024-09-21,l.facebook.com / referral,(referral),5,5
136,2024-09-21,lm.facebook.com / referral,(referral),5,5
137,2024-09-21,google / cpc,campaign_23,5,5
138,2024-09-21,facebook / cpc,campaign_18,4,5
139,2024-09-21,(not set),(not set),4,4
140,2024-09-21,google / cpc,hu_brand,41,44
141,2024-09-21,google / cpc,(organic),3,3
142,2024-09-21,seznam / organic,(organic),3,3
143,2024-09-21,google / cpc,campaign_19,3,3
144,2024-09-21,google / cpc,campaign_30,3,3
145,2024-09-21,source_1,(referral),2,2
146,2024-09-21,ajanlat / email,campaign_7,1,2
147,2024-09-21,googleads.g.doubleclick.net / referral,(referral),0,1
148,2024-09-21,bing / cpc,campaign_45,1,1
149,2024-09-21,google / cpc,campaign_43,1,1
150,2024-09-21,google / cpc,campaign_25,1,1
151,2024-09-21,google / cpc,campaign_27,1,1
152,2024-09-21,facebook / cpc,campaign_21,1,1
153,2024-09-21,google / cpc,campaign_26,1,1
154,2024-09-21,ajanlat / offline,proposal-by-phone,1,1
155,2024-09-21,google / organic,(organic),39,43
156,2024-09-22,google / organic,(organic),45,52
157,2024-09-22,google / cpc,campaign_26,1,1
158,2024-09-22,google / cpc,campaign_16,55,67
159,2024-09-22,google / cpc,(not set),45,47
160,2024-09-22,google / cpc,hu_brand,35,37
161,2024-09-22,facebook / cpc,campaign_14,29,29
162,2024-09-22,google / cpc,campaign_19,16,20
163,2024-09-22,l.facebook.com / referral,(referral),15,17
164,2024-09-22,m.facebook.com / referral,(referral),14,14
165,2024-09-22,google / cpc,campaign_15,9,9
166,2024-09-22,facebook / cpc,campaign_18,9,9
167,2024-09-22,google / cpc,hu_pmax_brand,9,9
168,2024-09-22,google / cpc,campaign_17,6,8
169,2024-09-22,(not set),(not set),6,6
170,2024-09-22,redir.d-edgeconnect.media / referral,(referral),6,6
171,2024-09-22,google / cpc,campaign_20,5,6
172,2024-09-22,google / cpc,campaign_30,5,6
173,2024-09-22,seznam / organic,(organic),4,4
174,2024-09-22,google / cpc,(organic),1,3
175,2024-09-22,googleads.g.doubleclick.net / referral,(referral),3,3
176,2024-09-22,source_1,(referral),3,3
177,2024-09-22,google / cpc,campaign_23,3,3
178,2024-09-22,google / cpc,campaign_22,3,3
179,2024-09-22,bing / cpc,campaign_28,3,3
180,2024-09-22,bing / organic,(organic),2,2
181,2024-09-22,lm.facebook.com / referral,(referral),2,2
182,2024-09-22,bing / cpc,campaign_31,2,2
183,2024-09-22,google / cpc,campaign_24,2,2
184,2024-09-22,ajanlat / offline,campaign_2,1,2
185,2024-09-22,yahoo / organic,(organic),1,1
186,2024-09-22,source_10,(referral),1,1
187,2024-09-22,instagram.com / referral,(referral),1,1
188,2024-09-22,l.instagram.com / referral,(referral),1,1
189,2024-09-22,ntp.msn.com / referral,(referral),1,1
