,utc_date,0,Google,META,Microsoft,UNPAID
0,2024-09-18,921545.0,1579467.0,0.0,0.0,588851.5
1,2024-09-19,1437879.2,1668865.7,0.0,288341.0,3204404.8
2,2024-09-20,539087.1,1611085.1,342133.3,0.0,882773.5
3,2024-09-21,404265.0,2942085.9,99055.0,0.0,333555.4
4,2024-09-22,501471.6,3861360.0,0.0,0.0,848296.4
5,2024-09-23,2327724.6,3862423.9,0.0,0.0,1436367.0
6,2024-09-24,555099.8,1874619.2,399838.0,213164.6,1110028.0
7,2024-09-25,0.0,1752764.0,491492.0,0.0,0.0
8,2024-09-26,697834.4,3573440.7,274668.0,0.0,472237.6
9,2024-09-27,592762.8,2256622.8,0.0,216604.7,1402376.4
10,2024-09-28,176764.0,2104306.1,0.0,0.0,335449.4
11,2024-09-29,1262292.3,1506506.0,0.0,0.0,624939.0
12,2024-09-30,216543.0,1545471.8,0.0,0.0,0.0
13,2024-10-01,380737.0,4134768.0,338148.0,195951.4,1327933.9
14,2024-10-02,0.0,4234542.1,0.0,0.0,1065881.6
15,2024-10-03,428013.0,1738387.0,0.0,0.0,473079.0
16,2024-10-04,592717.0,749501.3,0.0,593605.2,1201475.1
17,2024-10-05,0.0,3121707.7,0.0,278409.1,411672.4
18,2024-10-06,0.0,2878076.5,432886.0,0.0,1396159.0
19,2024-10-07,123652.0,2841851.8,0.0,777592.7,75840.0
20,2024-10-08,0.0,2945647.5,0.0,0.0,372558.0
21,2024-10-09,0.0,7210885.0,0.0,184794.1,1010045.6
22,2024-10-10,318263.0,10710180.4,106561.0,1075922.0,4128978.0
23,2024-10-11,175949.0,8036536.8,0.0,0.0,1900042.6
24,2024-10-12,164700.0,4547710.5,0.0,0.0,3085258.4
25,2024-10-13,761240.0,15921334.8,105734.0,397816.0,3464250.3
26,2024-10-14,0.0,2731031.8,0.0,0.0,537315.6
27,2024-10-15,0.0,976654.9,289806.0,324907.0,500384.8
28,2024-10-16,0.0,3413996.4,0.0,214200.0,284532.0
29,2024-10-17,69790.0,1563984.2,0.0,172448.7,1240960.7
30,2024-10-18,97619.0,2502977.4,0.0,305694.0,250166.0
