,id,search_log_id,adults,children,picked_price,picked_room
225,6135,112976,2,0,,
226,6136,112977,2,0,,
227,6137,112978,2,0,,
228,6138,112979,2,0,,
229,6139,112980,2,1,,
230,6140,112981,2,3,,
231,6141,112982,2,0,,
232,6142,112983,2,0,,
233,6143,112984,2,0,,
234,6144,112985,2,0,,
235,6145,112986,2,0,,
236,6146,112987,4,0,,
237,6147,112988,2,0,,
238,6148,112989,1,0,,
239,6149,112990,1,0,,
240,6150,112991,2,2,,
241,6151,112992,2,2,,
242,6152,112993,2,3,,
243,6153,112994,2,0,,
244,6154,112995,2,1,,
245,6157,112997,2,3,,
246,6158,112998,2,2,,
247,6159,112999,2,0,,
248,6160,113000,2,0,,
249,6161,113001,2,3,,
250,6162,113002,2,3,,
251,6163,113003,2,3,,
252,6164,113004,2,3,,
253,6165,113005,2,0,,
254,6166,113006,2,1,,
255,6167,113006,1,1,,
256,6168,113007,2,1,,
257,6169,113007,1,1,,
258,6170,113008,2,0,,
259,6171,113009,2,0,,
260,6172,113010,2,1,,
261,6173,113010,1,1,,
262,6174,113011,2,2,,
263,6175,113012,2,2,,
264,6176,113013,2,2,,
265,6177,113014,2,1,,
266,6178,113014,1,1,,
267,6179,113015,2,0,,
268,6180,113016,2,0,,
269,6181,113017,2,1,,
270,6182,113018,2,0,,
271,6183,113019,2,0,,
272,6184,113020,2,0,,
273,6185,113021,2,0,,
274,6186,113022,2,0,,
275,6187,113023,2,0,,
276,6188,113024,2,0,,
277,6189,113025,2,0,,
278,6190,113026,2,0,,
279,6191,113027,2,0,,
280,6192,113028,2,0,,
281,6193,113029,2,3,,
282,6194,113030,2,3,,
283,6195,113031,2,3,,
284,6196,113032,2,3,,
285,6197,113033,2,3,,
286,6198,113034,2,3,,
287,6199,113035,2,3,,
288,6200,113036,2,3,,
289,6201,113037,2,2,,
290,6202,113037,2,2,,
291,6203,113037,2,2,,
292,6204,113038,2,0,,
293,6205,113039,2,0,,
294,6206,113040,2,0,,
295,6207,113041,2,0,,
