,utc_date,0,Google,META,Microsoft,UNPAID
0,2024-09-18,4,8,0,0,3
1,2024-09-19,6,10,0,2,10
2,2024-09-20,4,5,1,0,5
3,2024-09-21,2,12,1,0,2
4,2024-09-22,3,18,0,0,5
5,2024-09-23,8,19,0,0,5
6,2024-09-24,2,8,1,2,4
7,2024-09-25,0,8,3,0,0
8,2024-09-26,4,13,2,0,2
9,2024-09-27,3,9,0,1,4
10,2024-09-28,1,9,0,0,1
11,2024-09-29,7,7,0,0,3
12,2024-09-30,1,8,0,0,0
13,2024-10-01,2,23,2,1,4
14,2024-10-02,0,16,0,0,6
15,2024-10-03,2,9,0,0,2
16,2024-10-04,2,4,0,2,4
17,2024-10-05,0,20,0,1,2
18,2024-10-06,0,11,1,0,4
19,2024-10-07,1,14,0,3,1
20,2024-10-08,0,15,0,0,2
21,2024-10-09,0,28,0,1,3
22,2024-10-10,4,62,1,6,21
23,2024-10-11,2,44,0,0,9
24,2024-10-12,1,29,0,0,12
25,2024-10-13,4,87,1,2,26
26,2024-10-14,0,13,0,0,2
27,2024-10-15,0,4,1,2,3
28,2024-10-16,0,13,0,1,2
29,2024-10-17,1,7,0,1,5
30,2024-10-18,1,10,0,1,2
