,date,utm_source_and_medium,utm_campaign,user_count,session_count
0,2024-09-18,(not set),(not set),516,676
1,2024-09-18,(direct) / (none),(direct),227,260
2,2024-09-18,google / cpc,(organic),221,246
3,2024-09-18,google / cpc,HU | pMAX | PERF I Brand,172,187
4,2024-09-18,google / organic,(organic),153,180
5,2024-09-18,google / cpc,HU | GSN | PERF I Brand,130,161
6,2024-09-18,google / cpc,(not set),92,105
7,2024-09-18,facebook / cpc,campaign_19,79,83
8,2024-09-18,facebook / cpc,campaign_20,51,52
9,2024-09-18,facebook / cpc,campaign_21,35,38
10,2024-09-18,google / cpc,campaign_22,27,31
11,2024-09-18,bing / organic,(organic),7,20
12,2024-09-18,bing / cpc,campaign_2,20,20
13,2024-09-18,google / cpc,campaign_23,16,19
14,2024-09-18,google / cpc,campaign_24,19,19
15,2024-09-18,google / cpc,DE | pMAX | PERF I Brand,14,18
16,2024-09-18,m.facebook.com / referral,(referral),16,17
17,2024-09-18,google / cpc,campaign_25,17,17
18,2024-09-18,l.facebook.com / referral,(referral),12,14
19,2024-09-18,ajanlat / offline,campaign_10,8,14
20,2024-09-18,bing / cpc,campaign_5,3,13
21,2024-09-18,redir.d-edgeconnect.media / referral,(referral),9,10
22,2024-09-18,google / cpc,(referral),7,8
23,2024-09-18,google / cpc,campaign_26,5,7
24,2024-09-18,google / cpc,HU | GDN | ENGM I Programok '24,7,7
25,2024-09-18,phone / offline,proposal-by-phone,2,7
26,2024-09-18,l.instagram.com / referral,(referral),4,5
27,2024-09-18,lm.facebook.com / referral,(referral),3,5
28,2024-09-18,otpbankdirekt.hu / referral,(referral),2,5
29,2024-09-18,google / cpc,campaign_27,3,5
30,2024-09-18,google / cpc,campaign_28,3,5
31,2024-09-18,hirlevel_s1,hirlevel_c1,3,5
32,2024-09-18,google / cpc,campaign_29,2,4
33,2024-09-18,bing / cpc,HU | PERF | Lokáció - All,4,4
34,2024-09-18,kereso.startlap.hu / referral,(referral),1,3
35,2024-09-18,bing / cpc,HU | pMAX | Brand '23/'24,0,3
36,2024-09-18,hirlevel_s3,hirlevel_c2,1,3
37,2024-09-18,loyalty / email,loyalty-email,1,3
38,2024-09-18,ajanlat / offline,proposal-by-phone,2,3
39,2024-09-18,google / organic,(not set),1,2
40,2024-09-18,live / organic,(not set),1,2
41,2024-09-18,mail.google.com / referral,(referral),1,2
42,2024-09-18,romaniatv.net / referral,(referral),1,2
43,2024-09-18,bing / cpc,AT | PERF | Brand,2,2
44,2024-09-18,google / cpc,campaign_30,1,2
45,2024-09-18,google / organic,(not+set),1,1
46,2024-09-18,ecosia.org / organic,(organic),0,1
47,2024-09-18,click.pstmrk.it / referral,(referral),1,1
48,2024-09-18,e.issuu.com / referral,(referral),1,1
