,date,Google,META,Microsoft,Unpaid
0,2024-09-18,196,39,3,153
1,2024-09-19,198,25,4,196
2,2024-09-20,147,30,2,122
3,2024-09-21,186,24,3,99
4,2024-09-22,215,37,4,116
5,2024-09-23,198,54,4,181
6,2024-09-24,218,62,9,158
7,2024-09-25,195,47,9,162
8,2024-09-26,219,57,4,133
9,2024-09-27,181,53,1,123
10,2024-09-28,196,42,4,123
11,2024-09-29,239,46,3,114
12,2024-09-30,210,38,1,115
13,2024-10-01,208,17,4,131
14,2024-10-02,202,22,6,131
15,2024-10-03,228,18,5,152
16,2024-10-04,183,23,4,120
17,2024-10-05,193,21,2,119
18,2024-10-06,300,19,6,149
19,2024-10-07,257,12,9,148
20,2024-10-08,264,12,4,172
21,2024-10-09,259,16,12,146
22,2024-10-10,395,28,13,258
23,2024-10-11,344,22,10,205
24,2024-10-12,329,27,5,200
25,2024-10-13,494,35,10,350
26,2024-10-14,254,27,7,164
27,2024-10-15,215,16,8,143
28,2024-10-16,186,17,4,113
29,2024-10-17,193,21,6,138
30,2024-10-18,187,23,5,328
