,search_log_id,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,search_log_session_id,lang_code,currency,arrival,departure,days,nights,adults,children,utc_date,Rate_EUR,total_price_HUF
0,129649,112607.2,0.0,0,11260.0,4329,hu,HUF,2024-10-20,2024-10-22,3,2,1,1,2024-09-18,394.47,82653.2
1,129640,185435.6,0.0,0,18543.6,4309,hu,HUF,2024-11-19,2024-11-22,4,3,2,1,2024-09-18,394.47,161892.0
2,129730,122352.2,0.0,0,12235.2,4381,hu,HUF,2024-10-06,2024-10-08,3,2,2,0,2024-09-18,394.47,85117.0
3,129772,141700.0,0.0,140000,0.0,4414,hu,HUF,2024-10-30,2024-11-01,3,2,2,0,2024-09-18,394.47,1700.0
4,129888,197064.4,0.0,0,19706.4,4488,hu,HUF,2024-10-29,2024-10-31,3,2,2,1,2024-09-18,394.47,177358.0
5,129892,117231.6,0.0,0,12882.6,4489,hu,HUF,2024-12-13,2024-12-15,3,2,2,0,2024-09-18,394.47,73045.0
6,129894,175468.1,29821.9,0,0.0,4493,de,EUR,2024-10-05,2024-10-07,3,2,2,0,2024-09-18,394.47,205290.1
7,129955,230564.9,0.0,0,25336.9,4539,hu,HUF,2024-10-20,2024-10-22,3,2,4,0,2024-09-18,394.47,200228.0
8,129966,91122.6,0.0,0,9112.3,4549,de,EUR,2024-09-18,2024-09-19,2,1,1,0,2024-09-18,394.47,82010.3
9,129998,316080.0,0.0,0,0.0,4573,hu,HUF,2024-09-30,2024-10-02,3,2,4,1,2024-09-18,394.47,316080.0
10,130000,187272.2,0.0,0,18727.2,4575,hu,HUF,2024-11-09,2024-11-12,4,3,2,0,2024-09-18,394.47,163545.0
11,130065,158507.8,0.0,0,15850.8,4595,hu,HUF,2024-11-15,2024-11-17,3,2,2,0,2024-09-18,394.47,142657.0
12,130102,155937.8,0.0,0,15593.8,4642,hu,HUF,2024-10-04,2024-10-06,3,2,2,0,2024-09-18,394.47,140344.0
13,130568,200491.0,0.0,0,22032.0,5067,hu,HUF,2024-11-14,2024-11-17,4,3,2,0,2024-09-19,394.7,173459.0
14,130563,193392.2,0.0,0,19339.2,5060,hu,HUF,2024-10-14,2024-10-16,3,2,3,0,2024-09-19,394.7,169053.0
15,130581,226440.0,0.0,0,22644.0,5073,hu,HUF,2024-10-25,2024-10-28,4,3,2,0,2024-09-19,394.7,203796.0
16,130620,143820.0,0.0,0,14382.0,5094,hu,HUF,2024-10-13,2024-10-15,3,2,2,0,2024-09-19,394.7,99896.0
17,130637,170640.0,13600.0,0,17064.0,5109,hu,HUF,2024-09-28,2024-09-30,3,2,2,0,2024-09-19,394.7,122176.0
18,130722,114548.9,0.0,0,11454.9,5164,hu,HUF,2024-09-21,2024-09-22,2,1,2,0,2024-09-19,394.7,98094.0
19,130761,149940.0,0.0,0,14994.0,5182,hu,HUF,2024-10-25,2024-10-27,3,2,2,0,2024-09-19,394.7,129946.0
20,130944,91334.8,0.0,0,10036.8,5309,hu,HUF,2024-12-18,2024-12-20,3,2,2,0,2024-09-19,394.7,70593.0
21,130950,159120.0,0.0,0,15912.0,5315,hu,HUF,2024-10-04,2024-10-06,3,2,2,0,2024-09-19,394.7,136808.0
22,130959,137700.0,0.0,0,13770.0,5313,hu,HUF,2024-11-15,2024-11-17,3,2,2,0,2024-09-19,394.7,118930.0
23,130985,180000.0,0.0,0,0.0,5339,hu,HUF,2024-09-21,2024-09-23,3,2,2,1,2024-09-19,394.7,180000.0
24,131052,102275.6,0.0,0,10227.6,5389,hu,HUF,2024-09-19,2024-09-20,2,1,2,0,2024-09-19,394.7,92048.0
25,131060,103587.2,0.0,0,11383.2,5389,hu,HUF,2024-11-10,2024-11-12,3,2,2,0,2024-09-19,394.7,92204.0
26,131077,157679.4,0.0,0,13892.4,5406,hu,HUF,2024-10-05,2024-10-07,3,2,2,0,2024-09-19,394.7,143787.0
27,131095,175950.0,0.0,0,17595.0,5414,hu,HUF,2024-10-25,2024-10-27,3,2,2,1,2024-09-19,394.7,153355.0
28,131129,93562.6,0.0,0,10281.6,5438,hu,HUF,2024-11-27,2024-11-29,3,2,2,0,2024-09-19,394.7,78281.0
29,131130,93562.6,0.0,0,10281.6,5439,hu,HUF,2024-11-27,2024-11-29,3,2,2,0,2024-09-19,394.7,83281.0
30,131131,93562.6,0.0,0,10281.6,5440,hu,HUF,2024-11-27,2024-11-29,3,2,2,0,2024-09-19,394.7,78281.0
31,131600,443307.1,0.0,0,48715.1,5881,hu,HUF,2024-10-24,2024-10-27,4,3,4,0,2024-09-20,394.39,372901.0
32,131665,242376.3,0.0,0,24239.2,5921,de,EUR,2024-10-14,2024-10-17,4,3,2,0,2024-09-20,394.39,218137.1
33,131670,235980.0,0.0,0,23598.0,5926,hu,HUF,2024-11-24,2024-11-29,6,5,2,0,2024-09-20,394.39,212382.0
34,131672,139230.0,0.0,0,15300.0,5928,hu,HUF,2024-11-01,2024-11-03,3,2,2,0,2024-09-20,394.39,86751.0
35,131676,143804.4,0.0,0,14380.4,5923,hu,HUF,2024-10-14,2024-10-16,3,2,2,0,2024-09-20,394.39,124424.0
36,131662,169218.0,0.0,0,0.0,5920,hu,HUF,2024-10-31,2024-11-02,3,2,2,0,2024-09-20,394.39,169218.0
37,131687,199080.0,0.0,0,19908.0,5935,hu,HUF,2024-09-28,2024-09-30,3,2,2,0,2024-09-20,394.39,174172.0
