,date,utm_source_and_medium,utm_campaign,user_count,session_count
0,2024-09-18,google / cpc,(organic),75,80
1,2024-09-18,(direct) / (none),(direct),73,76
2,2024-09-18,google / cpc,HU | GSN | PERF I Brand,45,52
3,2024-09-18,google / organic,(organic),37,42
4,2024-09-18,google / cpc,HU | pMAX | PERF I Brand,34,36
5,2024-09-18,google / cpc,(not set),16,17
6,2024-09-18,facebook / cpc,campaign_19,16,16
7,2024-09-18,facebook / cpc,campaign_20,12,12
8,2024-09-18,facebook / cpc,campaign_21,11,11
9,2024-09-18,redir.d-edgeconnect.media / referral,(referral),8,9
10,2024-09-18,google / cpc,campaign_22,8,9
11,2024-09-18,(not set),(not set),7,7
12,2024-09-18,m.facebook.com / referral,(referral),5,6
13,2024-09-18,bing / organic,(organic),4,5
14,2024-09-18,google / cpc,campaign_26,3,4
15,2024-09-18,l.instagram.com / referral,(referral),3,3
16,2024-09-18,google / cpc,campaign_25,3,3
17,2024-09-18,google / cpc,campaign_28,3,3
18,2024-09-18,hirlevel_s1,hirlevel_c1,3,3
19,2024-09-18,l.facebook.com / referral,(referral),2,2
20,2024-09-18,mail.google.com / referral,(referral),1,2
21,2024-09-18,google / cpc,campaign_24,2,2
22,2024-09-18,google / cpc,DE | pMAX | PERF I Brand,2,2
23,2024-09-18,google / organic,(not set),1,1
24,2024-09-18,email.seznam.cz / referral,(referral),1,1
25,2024-09-18,google / cpc,(referral),1,1
26,2024-09-18,hotelcms.hu / referral,(referral),1,1
27,2024-09-18,kereso.startlap.hu / referral,(referral),1,1
28,2024-09-18,source_1,(referral),1,1
29,2024-09-18,lm.facebook.com / referral,(referral),1,1
30,2024-09-18,otpbankdirekt.hu / referral,(referral),1,1
31,2024-09-18,google / cpc,campaign_27,1,1
32,2024-09-18,google / cpc,campaign_23,1,1
33,2024-09-18,google / cpc,campaign_29,1,1
34,2024-09-18,bing / cpc,campaign_5,1,1
35,2024-09-18,bing / cpc,campaign_2,1,1
36,2024-09-18,google / cpc,HU | GDN | ENGM I Programok '24,1,1
37,2024-09-18,bing / cpc,HU | PERF | Lokáció - All,1,1
38,2024-09-18,hirlevel_s5,hirlevel_c4,1,1
39,2024-09-18,loyalty / email,loyalty-email,1,1
40,2024-09-18,ajanlat / offline,proposal-by-phone,1,1
41,2024-09-19,(direct) / (none),(direct),105,114
42,2024-09-19,google / cpc,(organic),78,91
43,2024-09-19,google / cpc,HU | GSN | PERF I Brand,41,47
44,2024-09-19,google / organic,(organic),34,37
45,2024-09-19,google / cpc,HU | pMAX | PERF I Brand,37,37
46,2024-09-19,google / cpc,campaign_22,16,20
47,2024-09-19,hirlevel_s1,hirlevel_c1,10,12
48,2024-09-19,google / cpc,(not set),9,10
49,2024-09-19,(not set),(not set),5,9
50,2024-09-19,facebook / cpc,campaign_21,9,9
51,2024-09-19,facebook / cpc,campaign_20,9,9
52,2024-09-19,l.instagram.com / referral,(referral),8,8
53,2024-09-19,google / cpc,campaign_23,8,8
54,2024-09-19,facebook / cpc,campaign_19,7,8
55,2024-09-19,bing / organic,(organic),5,5
56,2024-09-19,l.facebook.com / referral,(referral),4,4
57,2024-09-19,redir.d-edgeconnect.media / referral,(referral),4,4
58,2024-09-19,hirlevel_s5,hirlevel_c4,3,4
59,2024-09-19,instagram.com / referral,(referral),3,3
60,2024-09-19,m.facebook.com / referral,(referral),3,3
61,2024-09-19,webmail.telekom.hu / referral,(referral),2,3
62,2024-09-19,google / cpc,campaign_25,2,3
63,2024-09-19,phone / offline,proposal-by-phone,2,3
64,2024-09-19,source_4,(referral),2,2
65,2024-09-19,hotelcms.hu / referral,(referral),1,2
66,2024-09-19,youtube.com / referral,(referral),1,2
67,2024-09-19,bing / cpc,campaign_2,2,2
68,2024-09-19,app.zoomsphere.com / referral,(referral),1,1
69,2024-09-19,google / cpc,(referral),1,1
70,2024-09-19,otpbankdirekt.hu / referral,(referral),1,1
71,2024-09-19,google / cpc,campaign_27,1,1
72,2024-09-19,google / cpc,campaign_26,1,1
73,2024-09-19,google / cpc,campaign_24,1,1
74,2024-09-19,google / cpc,DE | pMAX | PERF I Brand,1,1
75,2024-09-19,bing / cpc,campaign_5,1,1
76,2024-09-19,bing / cpc,HU | GSN | Brand,1,1
77,2024-09-19,google / cpc,campaign_28,1,1
78,2024-09-19,google / cpc,campaign_37,1,1
79,2024-09-19,hirlevel_s3,hirlevel_c2,1,1
80,2024-09-19,loyalty / email,loyalty-email,1,1
81,2024-09-20,wellcard.de / referral,(referral),1,1
82,2024-09-20,hirlevel_s5,hirlevel_c4,1,1
83,2024-09-20,google / cpc,HU | GSN | PERF I Brand,35,39
84,2024-09-20,google / organic,(organic),27,28
85,2024-09-20,google / cpc,HU | pMAX | PERF I Brand,22,22
86,2024-09-20,google / cpc,(not set),16,16
87,2024-09-20,facebook / cpc,campaign_19,15,15
88,2024-09-20,facebook / cpc,campaign_20,11,12
89,2024-09-20,bing / organic,(organic),9,10
