,utc_date,0,Google,META,Microsoft,UNPAID
0,2024-09-18,479625.0,1069413.4,0,0.0,282881.2
1,2024-09-19,902846.0,1167787.0,0,0.0,153355.0
2,2024-09-20,611530.1,1448908.0,0,0.0,190528.0
3,2024-09-21,547690.0,912772.8,0,0.0,598153.1
4,2024-09-22,408080.0,1736360.0,257040,0.0,606400.4
5,2024-09-23,1129683.0,1683459.0,0,0.0,585412.0
6,2024-09-24,637539.0,1622856.0,121102,0.0,280666.0
7,2024-09-25,316290.0,2657816.3,0,0.0,444851.0
8,2024-09-26,842716.9,843177.0,166720,0.0,2056421.0
9,2024-09-27,471101.0,1393563.0,0,0.0,0.0
10,2024-09-28,525608.0,378980.0,0,0.0,1618042.0
11,2024-09-29,124294.0,3287250.0,0,0.0,371594.5
12,2024-09-30,367643.6,448868.0,208202,104058.0,0.0
13,2024-10-01,294793.2,2920478.6,0,154406.0,585539.7
14,2024-10-02,1066117.0,1792894.4,0,0.0,1470446.0
15,2024-10-03,0.0,2824544.7,0,0.0,297927.6
16,2024-10-04,0.0,773148.7,0,0.0,0.0
17,2024-10-05,0.0,1262607.5,0,0.0,0.0
18,2024-10-06,0.0,3184274.0,0,399233.0,0.0
19,2024-10-07,235859.0,2134941.1,0,171154.8,583054.3
20,2024-10-08,0.0,3063670.2,0,0.0,526595.0
21,2024-10-09,0.0,3506644.3,0,0.0,974174.6
22,2024-10-10,530914.0,10226524.4,198969,852580.0,1311759.0
23,2024-10-11,0.0,4926579.0,87998,148176.0,1461186.6
24,2024-10-12,0.0,6101532.3,0,0.0,1654803.0
25,2024-10-13,389751.0,13369031.9,101592,145608.0,5786013.8
26,2024-10-14,0.0,1518602.1,0,0.0,1298293.1
27,2024-10-15,0.0,1827198.0,0,0.0,444607.0
28,2024-10-16,0.0,1873908.4,0,0.0,292750.0
29,2024-10-17,0.0,2362681.1,0,0.0,748500.0
30,2024-10-18,0.0,1311629.0,0,0.0,187168.0
