,date,Google,META,Microsoft,Unpaid
0,2024-09-18,736,165,31,982
1,2024-09-19,807,151,29,1401
2,2024-09-20,665,166,31,906
3,2024-09-21,637,134,44,745
4,2024-09-22,776,188,30,916
5,2024-09-23,813,268,30,1133
6,2024-09-24,963,254,37,1553
7,2024-09-25,743,210,35,1239
8,2024-09-26,971,272,67,1100
9,2024-09-27,869,235,34,1012
10,2024-09-28,965,201,40,957
11,2024-09-29,1055,229,28,998
12,2024-09-30,956,198,46,1008
13,2024-10-01,720,87,39,744
14,2024-10-02,680,127,45,711
15,2024-10-03,703,98,44,753
16,2024-10-04,662,94,35,648
17,2024-10-05,681,84,26,619
18,2024-10-06,800,77,41,818
19,2024-10-07,783,65,49,836
20,2024-10-08,779,101,39,892
21,2024-10-09,796,118,46,848
22,2024-10-10,914,94,60,1271
23,2024-10-11,833,93,42,1005
24,2024-10-12,774,88,24,990
25,2024-10-13,1061,104,35,1496
26,2024-10-14,754,103,39,830
27,2024-10-15,667,103,35,803
28,2024-10-16,626,119,30,704
29,2024-10-17,714,106,27,789
30,2024-10-18,698,112,45,1527
