,id,search_log_id,adults,children,picked_price,picked_room
0,3782,76486,2,0,,
1,3824,76528,2,0,,
2,3837,76541,2,0,,
3,3838,76542,2,0,,
4,3839,76543,2,3,,
5,3840,76544,2,0,,
6,3841,76545,2,3,,
7,3842,76546,2,2,,
8,3843,76547,2,2,,
9,3844,76548,2,2,,
10,3845,76549,2,0,,
11,3846,76550,2,0,,
12,3847,76551,2,0,,
13,3848,76552,2,0,,
14,3849,76553,2,0,,
15,3850,76554,2,0,,
16,3851,76555,2,0,,
17,3852,76556,2,0,,
18,3853,76556,0,1,,
19,3854,76557,2,0,,
20,3855,76558,2,1,,
21,3856,76559,2,1,,
22,3857,76560,2,2,,
23,3858,76561,2,1,,
24,3859,76562,2,1,,
25,3860,76563,2,0,,
26,3861,76564,2,0,,
27,3862,76565,2,0,,
28,3863,76566,2,0,,
29,3864,76567,2,1,,
30,3865,76568,2,0,,
31,3866,76569,2,0,,
32,3867,76570,2,1,,
33,3868,76571,2,0,,
34,3869,76572,1,0,,
35,3870,76573,2,0,,
36,3871,76574,2,0,,
37,3872,76575,2,2,,
38,3873,76576,2,2,,
39,3874,76577,2,2,,
40,3875,76578,2,1,,
41,3876,76578,1,1,,
42,3877,76579,2,0,,
43,3878,76580,2,0,,
44,3879,76581,2,1,,
45,3880,76582,1,0,,
46,3881,76583,2,0,,
47,3882,76584,2,0,,
48,3883,76585,2,0,,
49,3884,76586,2,2,,
50,3885,76587,2,2,,
51,3886,76588,2,0,,
52,3887,76589,2,0,,
53,3888,76590,2,0,,
54,3889,76591,2,0,,
55,3890,76592,2,1,,
56,3891,76593,2,1,,
57,3892,76594,2,1,,
58,3893,76595,2,0,,
59,3894,76596,3,0,,
60,3895,76597,2,2,,
61,3896,76598,2,0,,
62,3897,76599,2,0,,
63,3898,76600,2,0,,
64,3899,76601,2,0,,
65,3900,76602,2,0,,
66,3901,76603,2,0,,
67,3902,76604,2,0,,
68,3903,76605,2,1,,
69,3904,76606,2,0,,
70,3905,76607,2,1,,
71,3906,76608,2,1,,
72,3907,76609,2,1,,
73,3908,76610,2,3,,
74,3909,76611,2,0,,
75,3910,76612,2,0,,
76,3911,76613,2,0,,
77,3912,76614,2,2,,
78,3913,76615,2,0,,
79,3914,76616,2,0,,
80,3915,76617,2,0,,
81,3916,76618,2,0,,
82,3917,76619,2,3,,
83,3918,76620,2,0,,
84,3919,76621,2,0,,
85,3920,76622,2,0,,
86,3921,76623,2,1,,
87,3922,76624,2,0,,
88,3923,76625,2,2,,
89,3924,76626,2,0,,
90,3925,76627,2,0,,
91,3926,76628,2,2,,
92,3927,76629,2,2,,
93,3928,76630,2,2,,
94,3929,76631,2,0,,
95,3930,76632,2,0,,
96,3931,76633,2,0,,
97,3932,76634,2,0,,
98,3933,76635,2,1,,
99,3934,76636,2,2,,
100,3935,76637,2,1,,
101,3936,76638,2,0,,
102,3937,76639,2,0,,
103,3938,76640,4,2,,
104,3939,76641,2,0,,
105,3940,76642,2,0,,
106,3941,76643,2,0,,
107,3942,76644,3,0,,
108,3943,76645,2,4,,
109,3944,76646,2,0,,
110,3945,76647,2,0,,
111,3946,76648,2,0,,
112,3947,76649,2,0,,
113,3948,76650,2,0,,
114,3949,76651,2,0,,
115,3950,76652,2,0,,
116,3951,76653,2,0,,
117,3952,76654,2,0,,
118,3953,76655,2,0,,
119,3954,76656,2,2,,
120,3955,76657,2,0,,
121,3956,76658,2,0,,
122,3957,76659,2,0,510.0,ROOMAA
123,3958,76660,2,0,,
124,3959,76661,2,0,,
125,3960,76662,2,0,,
126,3961,76663,2,0,,
127,3962,76664,2,2,,
128,3963,76665,2,0,,
129,3964,76666,2,0,,
130,3965,76667,2,0,,
131,3966,76668,2,2,,
132,3967,76669,2,0,271.8,ROOMBB
133,3968,76670,2,2,,
134,3969,76671,2,0,,
135,3970,76671,2,2,,
136,3971,76672,2,0,,
137,3972,76672,2,2,,
138,3973,76673,2,0,,
