,search_log_id,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,search_log_session_id,lang_code,currency,arrival,departure,days,nights,adults,children,utc_date,Rate_EUR,total_price_HUF
0,76659,201179.7,0.0,0,0.0,2612,de,EUR,2025-02-14,2025-02-18,5,4,2,0,2024-09-18,394.47,201179.7
1,76669,119129.9,0.0,0,11913.0,2619,de,EUR,2024-09-23,2024-09-24,2,1,2,0,2024-09-18,394.47,102286.1
2,76674,155875.6,0.0,0,15587.6,2624,hu,HUF,2024-11-08,2024-11-10,3,2,3,0,2024-09-18,394.47,140288.0
3,76703,140148.0,0.0,0,0.0,2646,hu,HUF,2024-10-10,2024-10-12,3,2,1,0,2024-09-18,394.47,140148.0
4,76733,123168.0,0.0,0,13535.0,2666,hu,HUF,2024-11-12,2024-11-14,3,2,2,0,2024-09-18,394.47,104633.0
5,76755,137591.5,0.0,0,0.0,2678,hu,HUF,2024-11-01,2024-11-02,2,1,2,1,2024-09-18,394.47,137591.5
6,76769,62593.0,0.0,0,0.0,2689,hu,HUF,2024-10-12,2024-10-13,2,1,2,0,2024-09-18,394.47,62593.0
7,76810,216618.0,0.0,0,0.0,2718,hu,HUF,2024-10-24,2024-10-26,3,2,2,1,2024-09-18,394.47,216618.0
8,76849,163037.0,6950.0,0,0.0,2731,hu,HUF,2024-10-18,2024-10-20,3,2,2,0,2024-09-18,394.47,169987.0
9,76932,271616.7,0.0,0,27161.7,2778,hu,HUF,2024-12-20,2024-12-23,4,3,2,2,2024-09-18,394.47,244455.0
10,76957,295168.0,0.0,0,32436.0,2791,hu,HUF,2024-10-18,2024-10-22,5,4,2,0,2024-09-18,394.47,257732.0
11,76962,119952.0,0.0,0,0.0,2797,hu,HUF,2024-11-22,2024-11-24,3,2,2,0,2024-09-18,394.47,119952.0
12,76997,112914.0,0.0,0,0.0,2819,hu,HUF,2024-11-29,2024-12-01,3,2,2,0,2024-09-18,394.47,112914.0
13,77115,178704.4,0.0,0,17870.4,2932,hu,HUF,2024-10-23,2024-10-26,4,3,2,0,2024-09-18,394.47,160834.0
14,77209,220320.0,0.0,0,0.0,3020,hu,HUF,2024-12-24,2024-12-27,4,3,2,0,2024-09-19,394.7,220320.0
15,77224,166926.6,0.0,0,18343.6,3031,hu,HUF,2024-10-13,2024-10-16,4,3,2,0,2024-09-19,394.7,143583.0
16,77272,305100.0,0.0,0,30510.0,3060,hu,HUF,2024-11-13,2024-11-19,7,6,2,0,2024-09-19,394.7,269590.0
17,77278,124847.8,0.0,0,12484.8,3063,hu,HUF,2025-05-01,2025-05-03,3,2,2,0,2024-09-19,394.7,107363.0
18,77323,153710.2,0.0,0,16891.2,3100,hu,HUF,2024-11-22,2024-11-24,3,2,2,2,2024-09-19,394.7,131819.0
19,77317,445122.2,2990.0,0,44512.2,3095,hu,HUF,2024-12-21,2024-12-27,7,6,2,0,2024-09-19,394.7,403600.0
20,77328,380664.4,0.0,0,38066.4,3090,hu,HUF,2024-10-29,2024-11-01,4,3,4,0,2024-09-19,394.7,342598.0
21,77469,431424.4,0.0,0,43142.4,3231,hu,HUF,2024-10-13,2024-10-19,7,6,2,0,2024-09-19,394.7,366470.0
22,77492,151775.6,0.0,0,15177.6,3246,hu,HUF,2024-11-01,2024-11-03,3,2,2,0,2024-09-19,394.7,136598.0
23,77498,427539.0,0.0,0,42753.9,3244,de,EUR,2024-09-28,2024-10-03,6,5,2,0,2024-09-19,394.7,384785.1
24,77538,422280.0,0.0,0,0.0,3277,hu,HUF,2024-11-22,2024-11-24,3,2,7,1,2024-09-19,394.7,422280.0
25,77553,109434.8,0.0,0,12025.8,3283,hu,HUF,2024-11-09,2024-11-12,4,3,1,0,2024-09-19,394.7,97409.0
26,77560,384279.9,0.0,0,0.0,3287,de,EUR,2024-11-11,2024-11-13,3,2,8,0,2024-09-19,394.7,384279.9
27,77577,111384.4,0.0,0,11138.4,3293,hu,HUF,2024-12-06,2024-12-08,3,2,2,0,2024-09-19,394.7,95246.0
28,77616,151775.6,0.0,0,15177.6,3320,hu,HUF,2024-11-01,2024-11-03,3,2,2,0,2024-09-19,394.7,131598.0
29,77854,145913.4,0.0,0,16034.4,3531,hu,HUF,2024-11-09,2024-11-12,4,3,2,0,2024-09-20,394.39,129879.0
30,77980,134092.6,0.0,0,13409.3,3613,de,EUR,2024-09-28,2024-09-30,3,2,2,0,2024-09-20,394.39,115753.5
31,77991,129600.0,0.0,0,19440.0,3622,hu,HUF,2025-02-03,2025-02-07,5,4,1,0,2024-09-20,394.39,110160.0
32,77995,156083.8,0.0,0,0.0,3625,de,EUR,2025-01-27,2025-01-29,3,2,2,0,2024-09-20,394.39,156083.8
33,77993,160392.6,0.0,0,17625.6,3624,hu,HUF,2024-11-01,2024-11-03,3,2,2,0,2024-09-20,394.39,127718.0
34,78001,120683.3,0.0,0,0.0,3629,de,EUR,2025-01-27,2025-01-29,3,2,2,1,2024-09-20,394.39,120683.3
35,78004,120683.3,0.0,0,0.0,3629,de,EUR,2025-01-27,2025-01-29,3,2,2,1,2024-09-20,394.39,120683.3
36,78009,174320.4,0.0,0,0.0,3633,de,EUR,2025-01-27,2025-01-29,3,2,2,2,2024-09-20,394.39,174320.4
37,78030,421828.2,0.0,0,63274.2,3643,hu,HUF,2024-12-30,2025-01-02,4,3,2,2,2024-09-20,394.39,358554.0
38,78048,548045.6,0.0,0,54804.6,3655,hu,HUF,2024-12-23,2024-12-27,5,4,2,1,2024-09-20,394.39,475263.0
39,78052,205200.0,0.0,0,0.0,3657,hu,HUF,2024-09-27,2024-09-29,3,2,2,0,2024-09-20,394.39,205200.0
40,78078,178704.4,0.0,0,17870.4,3666,hu,HUF,2024-11-09,2024-11-12,4,3,2,0,2024-09-20,394.39,155434.0
41,78079,160344.4,0.0,0,16034.4,3674,hu,HUF,2024-11-09,2024-11-12,4,3,2,0,2024-09-20,394.39,144310.0
42,78083,160344.4,0.0,0,16034.4,3674,hu,HUF,2024-11-09,2024-11-12,4,3,2,0,2024-09-20,394.39,139310.0
43,78082,115055.6,0.0,0,11505.6,3677,hu,HUF,2024-10-23,2024-10-25,3,2,2,0,2024-09-20,394.39,98550.0
44,78359,115200.0,0.0,0,0.0,3912,hu,HUF,2024-09-28,2024-09-30,3,2,2,0,2024-09-21,394.39,115200.0
45,78545,168912.0,0.0,0,0.0,4036,hu,HUF,2025-05-01,2025-05-04,4,3,2,0,2024-09-21,394.39,168912.0
46,78547,165961.6,0.0,0,18237.6,4038,hu,HUF,2024-11-07,2024-11-10,4,3,2,0,2024-09-21,394.39,142724.0
47,78601,749700.0,0.0,0,74970.0,4073,hu,HUF,2025-08-09,2025-08-16,8,7,3,0,2024-09-21,394.39,674730.0
48,78622,371484.4,0.0,0,37148.4,4085,hu,HUF,2024-12-30,2025-01-02,4,3,2,2,2024-09-21,394.39,334336.0
49,78755,232560.0,0.0,0,23256.0,4197,hu,HUF,2025-08-03,2025-08-05,3,2,2,1,2024-09-22,394.39,204304.0
50,78792,209886.7,0.0,0,20988.7,4216,hu,HUF,2024-10-31,2024-11-02,3,2,2,1,2024-09-22,394.39,188898.0
51,78794,209886.7,0.0,0,20988.7,4221,hu,HUF,2024-10-31,2024-11-02,3,2,2,1,2024-09-22,394.39,188898.0
52,78847,155447.8,0.0,0,15544.8,4247,hu,HUF,2024-12-20,2024-12-23,4,3,2,0,2024-09-22,394.39,134903.0
53,78857,159120.0,2990.0,0,15912.0,4253,hu,HUF,2024-12-15,2024-12-17,3,2,2,1,2024-09-22,394.39,141198.0
54,78884,183060.0,0.0,0,18306.0,4270,hu,HUF,2024-11-21,2024-11-25,5,4,2,0,2024-09-22,394.39,153001.0
55,78888,510499.9,0.0,0,56098.9,4274,hu,HUF,2024-10-20,2024-10-23,4,3,6,0,2024-09-22,394.39,449401.0
56,79003,159836.4,0.0,0,17564.4,4345,hu,HUF,2024-10-25,2024-10-27,3,2,2,0,2024-09-22,394.39,142272.0
57,79005,421827.8,0.0,0,42182.8,4352,hu,HUF,2024-12-30,2025-01-02,4,3,2,1,2024-09-22,394.39,379645.0
58,79021,269460.0,6950.0,0,26946.0,4358,hu,HUF,2024-11-21,2024-11-25,5,4,2,0,2024-09-22,394.39,199464.0
59,79032,212220.0,0.0,0,21222.0,4366,hu,HUF,2024-11-11,2024-11-15,5,4,2,0,2024-09-22,394.39,176191.0
60,79040,739755.0,0.0,0,0.0,4373,hu,HUF,2024-12-24,2024-12-26,3,2,8,1,2024-09-22,394.39,734755.0
61,79074,605880.0,0.0,0,60588.0,4400,hu,HUF,2024-12-26,2024-12-30,5,4,4,0,2024-09-22,394.39,545292.0
62,79101,121175.6,0.0,0,12117.6,4406,hu,HUF,2024-10-23,2024-10-25,3,2,2,0,2024-09-22,394.39,104058.0
63,79274,279072.0,0.0,0,0.0,4578,hu,HUF,2024-10-26,2024-10-29,4,3,2,2,2024-09-22,394.39,279072.0
64,79306,370352.0,0.0,0,40698.0,4593,hu,HUF,2024-10-18,2024-10-21,4,3,4,0,2024-09-22,394.39,329654.0
65,79640,146880.0,0.0,0,14688.0,4875,hu,HUF,2025-04-10,2025-04-12,3,2,2,0,2024-09-23,394.46,132192.0
66,79635,104040.0,0.0,0,10404.0,4868,hu,HUF,2025-04-10,2025-04-12,3,2,2,0,2024-09-23,394.46,88636.0
67,79652,97920.0,0.0,0,9792.0,4868,hu,HUF,2025-04-10,2025-04-12,3,2,2,0,2024-09-23,394.46,88128.0
68,79656,212220.0,0.0,0,21222.0,4888,hu,HUF,2024-11-11,2024-11-15,5,4,2,0,2024-09-23,394.46,190998.0
69,79682,130967.8,0.0,0,13096.8,4902,hu,HUF,2024-10-29,2024-10-31,3,2,2,0,2024-09-23,394.46,117871.0
70,79784,160949.8,0.0,0,17686.8,4968,hu,HUF,2024-11-21,2024-11-24,4,3,2,0,2024-09-23,394.46,143263.0
71,79790,177656.8,0.0,0,19522.8,4969,hu,HUF,2024-12-06,2024-12-08,3,2,3,1,2024-09-23,394.46,158134.0
72,79920,356184.4,0.0,0,35618.4,5048,hu,HUF,2024-12-30,2025-01-02,4,3,2,0,2024-09-23,394.46,315566.0
73,79947,120257.8,0.0,0,12025.8,5067,hu,HUF,2024-11-09,2024-11-12,4,3,1,0,2024-09-23,394.46,108232.0
74,80348,188495.6,0.0,0,18849.6,5413,hu,HUF,2024-10-21,2024-10-24,4,3,2,0,2024-09-24,394.91,169646.0
75,80364,129896.3,0.0,0,14274.3,5427,hu,HUF,2024-11-01,2024-11-03,3,2,2,0,2024-09-24,394.91,110622.0
76,80461,175950.0,2990.0,0,17595.0,5487,hu,HUF,2024-10-29,2024-10-31,3,2,2,1,2024-09-24,394.91,156345.0
77,80471,214008.2,0.0,0,32101.2,5485,hu,HUF,2025-04-22,2025-04-24,3,2,3,1,2024-09-24,394.91,181907.0
78,80506,117504.4,0.0,0,11750.4,5495,hu,HUF,2024-12-19,2024-12-21,3,2,2,0,2024-09-24,394.91,100754.0
79,80532,210600.0,0.0,0,21060.0,5517,hu,HUF,2024-10-13,2024-10-17,5,4,2,0,2024-09-24,394.91,132678.0
80,80623,199440.0,9800.0,0,0.0,5561,hu,HUF,2024-09-28,2024-10-01,4,3,2,0,2024-09-24,394.91,209240.0
81,80648,280296.0,0.0,0,0.0,5584,hu,HUF,2024-10-27,2024-10-31,5,4,2,0,2024-09-24,394.91,280296.0
82,80679,154224.4,6950.0,0,15422.4,5599,hu,HUF,2024-10-25,2024-10-27,3,2,2,1,2024-09-24,394.91,140752.0
83,80724,321523.2,0.0,0,0.0,5631,hu,HUF,2025-01-01,2025-01-04,4,3,2,2,2024-09-24,394.91,321523.2
84,80856,238320.0,0.0,0,0.0,5756,hu,HUF,2024-10-05,2024-10-08,4,3,2,0,2024-09-24,394.91,238320.0
85,80867,374544.4,0.0,0,37454.4,5764,hu,HUF,2024-10-19,2024-10-23,5,4,2,2,2024-09-24,394.91,337090.0
86,80974,145913.4,0.0,0,16034.4,5862,hu,HUF,2024-11-09,2024-11-12,4,3,2,0,2024-09-25,395.11,129879.0
87,81000,531414.1,11490.0,0,79712.1,5874,hu,HUF,2024-12-30,2025-01-02,4,3,2,2,2024-09-25,395.11,463192.0
88,81011,174240.0,0.0,0,0.0,5879,hu,HUF,2024-09-29,2024-10-01,3,2,2,0,2024-09-25,395.11,174240.0
89,81085,393822.0,0.0,0,0.0,5932,hu,HUF,2024-12-25,2024-12-29,5,4,2,2,2024-09-25,395.11,393822.0
90,81100,209040.8,0.0,0,22971.7,5943,en,EUR,2024-12-07,2024-12-09,3,2,4,0,2024-09-25,395.11,186069.2
91,81117,118752.2,0.0,0,11875.2,5955,hu,HUF,2024-11-29,2024-12-01,3,2,2,0,2024-09-25,395.11,101877.0
92,81240,268858.9,0.0,0,29544.9,6009,hu,HUF,2024-10-12,2024-10-15,4,3,2,1,2024-09-25,395.11,222551.0
93,81270,130307.3,0.0,0,13030.7,6030,de,EUR,2024-11-28,2024-11-30,3,2,2,0,2024-09-25,395.11,117276.6
94,81337,115153.8,0.0,0,23030.8,6073,hu,HUF,2024-11-15,2024-11-17,3,2,2,0,2024-09-25,395.11,92123.0
95,81343,422770.0,0.0,0,42277.0,6077,hu,HUF,2024-12-30,2025-01-02,4,3,2,1,2024-09-25,395.11,341292.0
96,81361,345167.8,0.0,0,34516.8,6092,hu,HUF,2025-05-01,2025-05-04,4,3,2,3,2024-09-25,395.11,305651.0
97,81377,911866.7,0.0,0,91186.7,6099,hu,HUF,2024-12-22,2024-12-26,5,4,5,1,2024-09-25,395.11,815680.0
98,81553,137695.8,0.0,0,0.0,6140,de,EUR,2024-11-01,2024-11-02,2,1,2,0,2024-09-25,395.11,137695.8
99,81563,223992.2,11500.0,0,22399.2,6260,hu,HUF,2025-01-01,2025-01-04,4,3,2,0,2024-09-25,395.11,208093.0
100,81572,116892.2,0.0,0,11689.2,6262,hu,HUF,2024-10-12,2024-10-14,3,2,2,0,2024-09-25,395.11,105203.0
101,81795,173576.7,0.0,0,17357.7,6456,hu,HUF,2024-10-06,2024-10-08,3,2,2,0,2024-09-26,395.98,156219.0
102,81859,171360.0,0.0,0,17136.0,6506,hu,HUF,2024-12-23,2024-12-25,3,2,2,0,2024-09-26,395.98,154224.0
103,81896,280732.6,0.0,0,0.0,6532,hu,HUF,2024-11-08,2024-11-10,3,2,2,3,2024-09-26,395.98,280732.6
104,81936,88699.5,0.0,0,0.0,6551,de,EUR,2024-09-27,2024-09-28,2,1,1,0,2024-09-26,395.98,88699.5
105,81940,523810.0,0.0,0,52381.0,6563,hu,HUF,2024-12-23,2024-12-27,5,4,3,0,2024-09-26,395.98,471429.0
106,81981,308448.0,0.0,0,0.0,6592,hu,HUF,2024-10-25,2024-10-27,3,2,4,1,2024-09-26,395.98,308448.0
107,81995,432658.9,0.0,0,43265.9,6594,hu,HUF,2024-12-30,2025-01-02,4,3,2,1,2024-09-26,395.98,384193.0
108,82013,145655.6,0.0,0,14565.6,6613,hu,HUF,2024-10-18,2024-10-20,3,2,2,1,2024-09-26,395.98,131090.0
109,82064,222155.6,0.0,0,22215.6,6645,hu,HUF,2024-10-31,2024-11-03,4,3,2,0,2024-09-26,395.98,194940.0
110,82340,99732.2,0.0,0,9973.2,6884,hu,HUF,2024-11-11,2024-11-13,3,2,2,0,2024-09-27,396.85,84759.0
111,82358,456490.0,0.0,0,0.0,6894,hu,HUF,2024-12-29,2025-01-01,4,3,2,2,2024-09-27,396.85,456490.0
112,82420,236844.4,0.0,0,23684.4,6927,hu,HUF,2024-12-24,2024-12-27,4,3,2,0,2024-09-27,396.85,213160.0
113,82427,106367.0,0.0,0,0.0,6932,hu,HUF,2024-09-28,2024-09-29,2,1,2,1,2024-09-27,396.85,106367.0
114,82432,306288.8,0.0,0,30628.9,6935,de,EUR,2024-12-31,2025-01-03,4,3,2,0,2024-09-27,396.85,275659.9
115,82458,159120.0,0.0,0,15912.0,6948,hu,HUF,2024-10-26,2024-10-28,3,2,2,1,2024-09-27,396.85,143208.0
116,82459,180111.1,6950.0,0,18011.1,6947,hu,HUF,2024-12-24,2024-12-27,4,3,1,0,2024-09-27,396.85,169050.0
117,82497,375330.0,0.0,0,37533.0,6978,hu,HUF,2024-11-17,2024-11-20,4,3,4,1,2024-09-27,396.85,320735.0
118,82527,626741.1,0.0,0,62674.1,6998,hu,HUF,2024-12-22,2024-12-25,4,3,5,0,2024-09-27,396.85,564067.0
119,82536,501840.0,0.0,0,75276.0,7003,hu,HUF,2024-12-28,2025-01-01,5,4,2,1,2024-09-27,396.85,385080.0
120,82551,143191.4,9365.7,0,15735.1,7014,de,EUR,2024-11-01,2024-11-03,3,2,2,0,2024-09-27,396.85,131861.3
121,82561,185638.6,0.0,0,14565.6,7020,hu,HUF,2024-10-18,2024-10-20,3,2,2,0,2024-09-27,396.85,166073.0
122,82607,184182.2,0.0,0,18418.2,7046,hu,HUF,2024-11-01,2024-11-03,3,2,2,1,2024-09-27,396.85,160764.0
123,82869,188495.6,0.0,0,18849.6,7201,hu,HUF,2024-12-13,2024-12-15,3,2,3,1,2024-09-27,396.85,164646.0
124,83108,468180.0,0.0,0,46818.0,7426,hu,HUF,2025-04-18,2025-04-21,4,3,2,3,2024-09-28,396.85,416362.0
125,83144,141076.7,0.0,0,14107.7,7448,hu,HUF,2024-09-29,2024-10-01,3,2,2,0,2024-09-28,396.85,110380.0
126,83148,212517.0,0.0,0,0.0,7450,hu,HUF,2024-10-23,2024-10-27,5,4,2,0,2024-09-28,396.85,212517.0
127,83174,68983.7,0.0,0,7580.7,7467,hu,HUF,2024-10-19,2024-10-20,2,1,2,0,2024-09-28,396.85,61403.0
128,83208,299940.4,6950.0,0,23072.4,7475,hu,HUF,2024-10-25,2024-10-28,4,3,2,0,2024-09-28,396.85,283818.0
129,83207,172800.0,0.0,0,17280.0,7477,hu,HUF,2025-02-23,2025-02-27,5,4,2,0,2024-09-28,396.85,150520.0
130,83211,168066.9,0.0,0,18468.9,7481,hu,HUF,2024-12-21,2024-12-23,3,2,2,2,2024-09-28,396.85,144598.0
131,83303,659740.0,0.0,0,65974.0,7529,hu,HUF,2025-07-08,2025-07-13,6,5,2,2,2024-09-28,396.85,593766.0
132,83301,158164.8,0.0,0,17380.8,7538,hu,HUF,2024-11-27,2024-11-30,4,3,2,0,2024-09-28,396.85,135784.0
133,83318,173931.1,0.0,0,17393.1,7549,hu,HUF,2024-11-02,2024-11-04,3,2,3,0,2024-09-28,396.85,151538.0
134,83372,833298.9,0.0,0,83329.9,7577,hu,HUF,2024-12-28,2025-01-01,5,4,2,3,2024-09-28,396.85,726505.0
135,83390,510407.8,0.0,0,51040.8,7591,hu,HUF,2024-12-28,2025-01-03,7,6,2,0,2024-09-28,396.85,459367.0
136,83420,134946.0,0.0,0,0.0,7610,hu,HUF,2024-10-13,2024-10-15,3,2,2,0,2024-09-28,396.85,134946.0
137,83417,142742.2,0.0,0,14274.2,7607,hu,HUF,2024-10-18,2024-10-20,3,2,2,0,2024-09-28,396.85,123468.0
138,83434,228893.3,0.0,0,22889.3,7622,hu,HUF,2024-10-30,2024-11-01,3,2,2,1,2024-09-28,396.85,201004.0
139,83445,212975.6,0.0,0,21297.6,7630,hu,HUF,2024-10-31,2024-11-03,4,3,2,0,2024-09-28,396.85,191678.0
140,83464,118609.0,0.0,0,0.0,7643,hu,HUF,2024-10-20,2024-10-22,3,2,2,0,2024-09-28,396.85,118609.0
141,83499,167076.0,0.0,0,18360.0,7665,hu,HUF,2024-10-27,2024-10-29,3,2,2,0,2024-09-28,396.85,143716.0
142,83946,141120.0,0.0,0,0.0,8049,hu,HUF,2024-10-06,2024-10-08,3,2,2,0,2024-09-29,396.85,141120.0
143,83948,218631.1,0.0,0,21863.1,8051,hu,HUF,2024-10-18,2024-10-20,3,2,2,2,2024-09-29,396.85,196768.0
144,84028,97238.6,0.0,0,10685.6,8093,hu,HUF,2024-12-03,2024-12-05,3,2,2,0,2024-09-29,396.85,86553.0
145,84047,328031.8,0.0,0,49204.8,8106,hu,HUF,2024-12-31,2025-01-04,5,4,2,0,2024-09-29,396.85,278827.0
146,84068,452268.9,0.0,0,45226.9,8108,hu,HUF,2024-10-30,2024-11-03,5,4,2,2,2024-09-29,396.85,402042.0
147,84072,209304.4,0.0,0,20930.4,8119,hu,HUF,2024-10-17,2024-10-20,4,3,2,0,2024-09-29,396.85,163483.0
148,84063,330480.0,0.0,0,0.0,8115,hu,HUF,2024-12-29,2025-01-01,4,3,2,0,2024-09-29,396.85,330480.0
149,84123,124847.8,0.0,0,12484.8,8130,hu,HUF,2024-10-24,2024-10-26,3,2,2,1,2024-09-29,396.85,103116.0
150,84132,123624.4,0.0,0,12362.4,8157,hu,HUF,2024-11-22,2024-11-24,3,2,2,0,2024-09-29,396.85,111262.0
151,84143,300204.0,0.0,0,0.0,8166,hu,HUF,2024-12-22,2024-12-26,5,4,2,0,2024-09-29,396.85,300204.0
152,84150,124011.7,12675.4,0,13627.8,8170,de,EUR,2024-11-15,2024-11-17,3,2,2,0,2024-09-29,396.85,123059.2
153,84293,518400.0,0.0,0,51840.0,8273,hu,HUF,2025-01-17,2025-01-29,13,12,2,0,2024-09-29,396.85,415073.0
154,84291,141536.4,0.0,0,15553.4,8274,hu,HUF,2024-10-20,2024-10-22,3,2,2,0,2024-09-29,396.85,125983.0
155,84519,165600.0,0.0,0,0.0,8480,hu,HUF,2024-10-04,2024-10-06,3,2,2,0,2024-09-30,397.56,165600.0
156,84533,315169.7,0.0,0,31518.6,8490,de,EUR,2024-10-13,2024-10-16,4,3,3,0,2024-09-30,397.56,278284.0
157,84583,376992.2,0.0,0,37699.2,8519,hu,HUF,2024-10-19,2024-10-23,5,4,2,2,2024-09-30,397.56,334293.0
158,84586,92758.7,0.0,0,0.0,8521,de,EUR,2024-11-12,2024-11-13,2,1,2,2,2024-09-30,397.56,92758.7
