,date,utm_source_and_medium,utm_campaign,user_count,session_count
0,2024-09-18,(not set),(not set),425,551
1,2024-09-18,google / cpc,(organic),292,342
2,2024-09-18,google / cpc,(not set),206,232
3,2024-09-18,(direct) / (none),(direct),175,220
4,2024-09-18,google / organic,(organic),145,170
5,2024-09-18,google / cpc,HU | pMAX | PERF I Brand,103,109
6,2024-09-18,google / cpc,HU | GSN | PERF I Brand,62,78
7,2024-09-18,google / cpc,AT | pMAX Hotel | PERF I Brand,55,59
8,2024-09-18,facebook / cpc,campaign_17,53,54
9,2024-09-18,google / cpc,HU | GSN | PERF I Lokáció,45,48
10,2024-09-18,google / cpc,HU | GSN | PERF I Brand 2,27,31
11,2024-09-18,facebook / cpc,campaign_18,27,30
12,2024-09-18,google / cpc,DE | pMAX Hotel | PERF I Brand,19,25
13,2024-09-18,bing / cpc,campaign_33,11,23
14,2024-09-18,google / cpc,AT | GSN | PERF I Brand,18,21
15,2024-09-18,l.facebook.com / referral,(referral),11,16
16,2024-09-18,hirlevel / ct,campaign_3,9,15
17,2024-09-18,facebook / cpc,campaign_19,15,15
18,2024-09-18,m.facebook.com / referral,(referral),6,12
19,2024-09-18,google / cpc,campaign_27,10,12
20,2024-09-18,google / cpc,CZ | pMAX | PERF I Brand,7,10
21,2024-09-18,ajanlat / offline,campaign_2,5,10
22,2024-09-18,redir.d-edgeconnect.media / referral,(referral),8,9
23,2024-09-18,bing / cpc,HU | GSN | Brand 2024,7,9
24,2024-09-18,google / cpc,HU | GDN | ENGM I Programok '24,7,8
25,2024-09-18,phone / offline,proposal-by-phone,2,7
26,2024-09-18,bing / organic,(organic),6,6
27,2024-09-18,google / cpc,(referral),2,5
28,2024-09-18,google / cpc,AT | GSN | PERF | Lokáció,5,5
29,2024-09-18,duckduckgo / organic,(organic),3,4
30,2024-09-18,facebook / cpc,campaign_20,3,4
31,2024-09-18,ajanlat / email,campaign_7,3,4
32,2024-09-18,bing / cpc,DE | GSN | Brand 2024,1,3
33,2024-09-18,google / cpc,campaign_21,3,3
34,2024-09-18,source_4,(organic),1,2
35,2024-09-18,instagram.com / referral,(referral),0,2
36,2024-09-18,lm.facebook.com / referral,(referral),2,2
37,2024-09-18,zadir.hu / referral,(referral),0,2
38,2024-09-18,bing / cpc,AT | GSN | Brand,0,2
39,2024-09-18,bing / cpc,AT | GSN | Brand 2024,2,2
40,2024-09-18,email / offline,proposal-by-phone,0,2
41,2024-09-18,(direct) / (none),(not set),1,1
42,2024-09-18,app.zoomsphere.com / referral,(referral),1,1
43,2024-09-18,familypark.at / referral,(referral),1,1
44,2024-09-18,romaniatv.net / referral,(referral),1,1
45,2024-09-18,fb / paid,campaign_9,1,1
46,2024-09-18,google / cpc,CZ | GSN | PERF I Brand,1,1
47,2024-09-18,google / cpc,campaign_22,1,1
48,2024-09-18,google / cpc,HU | pMAX | Csomag,1,1
49,2024-09-18,google / cpc,campaign_23,1,1
50,2024-09-18,hirlevel_s1,hirlevel_c1,1,1
51,2024-09-19,familypark.at / referral,(referral),1,3
52,2024-09-19,google / cpc,CZ | GSN | PERF I Brand,1,1
53,2024-09-19,(direct) / (none),(direct),166,191
54,2024-09-19,google / cpc,(not set),159,168
55,2024-09-19,google / organic,(organic),123,141
56,2024-09-19,google / cpc,HU | pMAX | PERF I Brand,67,72
57,2024-09-19,google / cpc,HU | GSN | PERF I Brand,51,58
58,2024-09-19,facebook / cpc,campaign_18,43,55
59,2024-09-19,google / cpc,AT | pMAX Hotel | PERF I Brand,46,48
60,2024-09-19,google / cpc,HU | GSN | PERF I Lokáció,35,46
61,2024-09-19,facebook / cpc,campaign_17,39,39
62,2024-09-19,google / cpc,HU | GSN | PERF I Brand 2,26,34
63,2024-09-19,l.facebook.com / referral,(referral),21,22
64,2024-09-19,bing / cpc,campaign_33,8,22
65,2024-09-19,google / cpc,CZ | pMAX | PERF I Brand,19,19
66,2024-09-19,google / cpc,campaign_27,9,17
67,2024-09-19,google / cpc,DE | pMAX Hotel | PERF I Brand,16,16
68,2024-09-19,google / cpc,AT | GSN | PERF I Brand,11,13
69,2024-09-19,facebook / cpc,campaign_19,9,12
70,2024-09-19,bing / organic,(organic),8,8
71,2024-09-19,hirlevel / ct,campaign_3,5,8
72,2024-09-19,ajanlat / offline,campaign_2,4,8
73,2024-09-19,bing / cpc,HU | GSN | Brand 2024,4,7
74,2024-09-19,phone / offline,proposal-by-phone,3,7
75,2024-09-19,google / cpc,(referral),2,6
76,2024-09-19,m.facebook.com / referral,(referral),6,6
77,2024-09-19,zadir.hu / referral,(referral),1,5
78,2024-09-19,google / cpc,AT | GSN | PERF | Lokáció,5,5
