,date,Google,META,Microsoft,Unpaid
0,2024-09-18,865,98,21,807
1,2024-09-19,683,93,14,713
2,2024-09-20,686,133,31,639
3,2024-09-21,635,155,13,575
4,2024-09-22,813,200,12,845
5,2024-09-23,792,306,27,1494
6,2024-09-24,696,307,37,825
7,2024-09-25,705,314,18,850
8,2024-09-26,668,354,23,873
9,2024-09-27,638,239,24,733
10,2024-09-28,671,242,23,794
11,2024-09-29,755,263,21,791
12,2024-09-30,615,166,21,674
13,2024-10-01,591,58,26,575
14,2024-10-02,570,115,36,549
15,2024-10-03,576,76,23,524
16,2024-10-04,521,64,19,498
17,2024-10-05,524,64,16,492
18,2024-10-06,655,68,20,546
19,2024-10-07,626,81,39,653
20,2024-10-08,660,85,33,608
21,2024-10-09,679,86,24,673
22,2024-10-10,788,100,21,1195
23,2024-10-11,629,113,20,904
24,2024-10-12,588,119,13,692
25,2024-10-13,787,142,18,887
26,2024-10-14,596,101,17,595
27,2024-10-15,540,130,28,549
28,2024-10-16,556,129,30,574
29,2024-10-17,527,124,24,594
30,2024-10-18,551,146,25,505
