,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total
553,98050,114880.0,133200.0,0.0,0,13320.0,5000.0
554,98055,115371.0,133745.56,0.0,0,13374.56,5000.0
555,98111,42690.0,42690.0,0.0,0,0.0,0.0
556,98110,112707.0,126621.44,0.0,0,13914.44,0.0
557,98117,151426.0,127786.0,23640.0,0,0.0,0.0
558,98336,195840.0,195840.0,0.0,0,0.0,0.0
559,98463,316.8,352.0,0.0,0,35.2,0.0
560,98470,218070.0,193680.0,24390.0,0,0.0,0.0
561,98540,83128.0,97920.0,0.0,0,9792.0,0.0
562,98583,193170.0,182880.0,10290.0,0,0.0,0.0
563,98596,359.11,359.11,0.0,0,0.0,0.0
564,98599,21345.0,21345.0,0.0,0,0.0,0.0
565,98598,21345.0,21345.0,0.0,0,0.0,0.0
566,98614,93691.0,105257.78,0.0,0,11566.78,0.0
567,98634,80018.0,94464.44,0.0,0,9446.44,5000.0
568,98690,231706.0,265929.0,0.0,0,29223.0,5000.0
