,utc_date,0,Google,META,Microsoft,UNPAID
0,2024-09-18,5,6,0,2,1
1,2024-09-19,3,8,1,0,3
2,2024-09-20,4,8,0,0,3
3,2024-09-21,2,2,0,0,1
4,2024-09-22,3,11,2,0,0
5,2024-09-23,0,5,0,0,4
6,2024-09-24,0,10,0,2,0
7,2024-09-25,4,10,0,0,1
8,2024-09-26,2,6,0,0,1
9,2024-09-27,1,11,0,2,0
10,2024-09-28,2,14,1,0,1
11,2024-09-29,2,10,0,0,1
12,2024-09-30,0,11,0,1,0
13,2024-10-01,1,14,0,0,2
14,2024-10-02,3,12,1,1,2
15,2024-10-03,0,16,0,0,1
16,2024-10-04,1,11,0,1,1
17,2024-10-05,0,4,0,0,2
18,2024-10-06,0,13,0,2,4
19,2024-10-07,1,13,0,1,0
20,2024-10-08,0,6,0,2,4
21,2024-10-09,0,14,0,0,1
22,2024-10-10,5,39,0,3,3
23,2024-10-11,0,21,0,0,6
24,2024-10-12,1,25,0,2,7
25,2024-10-13,0,57,0,2,13
26,2024-10-14,0,9,0,0,6
27,2024-10-15,0,4,0,1,2
28,2024-10-16,0,14,0,0,8
29,2024-10-17,0,8,0,0,22
30,2024-10-18,0,5,1,0,4
