,date,Google,META,Microsoft,Unpaid
0,2024-09-18,176,20,4,97
1,2024-09-19,136,14,3,100
2,2024-09-20,93,23,6,65
3,2024-09-21,115,20,2,57
4,2024-09-22,162,39,1,97
5,2024-09-23,164,56,5,114
6,2024-09-24,144,38,9,111
7,2024-09-25,143,52,3,107
8,2024-09-26,127,49,5,98
9,2024-09-27,127,43,4,79
10,2024-09-28,154,45,1,90
11,2024-09-29,155,42,3,99
12,2024-09-30,138,18,4,80
13,2024-10-01,153,7,5,93
14,2024-10-02,143,17,4,88
15,2024-10-03,166,9,2,81
16,2024-10-04,141,7,2,83
17,2024-10-05,155,7,1,78
18,2024-10-06,212,10,5,90
19,2024-10-07,198,17,8,110
20,2024-10-08,208,12,10,90
21,2024-10-09,209,14,4,97
22,2024-10-10,323,18,5,240
23,2024-10-11,247,19,7,191
24,2024-10-12,224,13,5,143
25,2024-10-13,318,33,7,150
26,2024-10-14,183,19,2,97
27,2024-10-15,152,31,10,71
28,2024-10-16,170,20,5,97
29,2024-10-17,142,22,6,123
30,2024-10-18,139,22,7,82
